n,elapsed_time,FLOPs
767,116301,6.47888e+08
768,116423,6.48898e+08
769,116962,6.4759e+08
770,116586,6.51369e+08
771,118953,6.40066e+08
772,118153,6.46072e+08
773,116914,6.54611e+08
774,117811,6.51308e+08
775,119097,6.45941e+08
776,118260,6.52192e+08
777,121539,6.36232e+08
778,121982,6.35554e+08
779,120687,6.44025e+08
780,121839,6.39575e+08
781,123476,6.32714e+08
782,121215,6.46167e+08
783,124797,6.29226e+08
784,124067,6.34545e+08
785,121896,6.47495e+08
786,121315,6.52254e+08
787,123136,6.44244e+08
788,127389,6.24318e+08
789,127231,6.2668e+08
790,126821,6.30301e+08
791,126788,6.32061e+08
792,128474,6.25344e+08
793,125456,6.42005e+08
794,126096,6.40358e+08
795,124866,6.48296e+08
796,126416,6.41958e+08
797,125320,6.492e+08
798,126408,6.45228e+08
799,125194,6.53118e+08
800,128490,6.37958e+08
801,125817,6.53141e+08
802,128243,6.42385e+08
803,127240,6.49064e+08
804,127676,6.48459e+08
805,126722,6.54967e+08
806,126656,6.56937e+08
807,132371,6.30134e+08
808,127932,6.53615e+08
809,133840,6.2631e+08
810,134315,6.25639e+08
811,134175,6.27838e+08
812,133052,6.34699e+08
813,132860,6.37182e+08
814,133901,6.33785e+08
815,135549,6.27618e+08
816,136740,6.23678e+08
817,131014,6.52532e+08
818,130892,6.5474e+08
819,133477,6.4363e+08
820,134106,6.42176e+08
821,136419,6.32828e+08
822,138973,6.22712e+08
823,135329,6.41036e+08
824,132676,6.55444e+08
825,132445,6.58181e+08
826,133472,6.54701e+08
827,133101,6.58116e+08
828,133814,6.56193e+08
829,135268,6.50708e+08
830,135587,6.50743e+08
831,137556,6.42974e+08
832,137896,6.42933e+08
833,140795,6.31209e+08
834,138218,6.44522e+08
835,141899,6.29308e+08
836,140985,6.34906e+08
837,139408,6.43624e+08
838,142923,6.29296e+08
839,139909,6.44387e+08
840,138195,6.53935e+08
841,138383,6.54602e+08
842,138656,6.54867e+08
843,139900,6.50586e+08
844,139934,6.51972e+08
845,140462,6.51061e+08
846,141365,6.48433e+08
847,140363,6.54607e+08
848,141235,6.52102e+08
849,140608,6.56555e+08
850,141205,6.5532e+08
851,142994,6.48644e+08
852,143595,6.47448e+08
853,142348,6.54653e+08
854,142805,6.54088e+08
855,142391,6.57527e+08
856,142977,6.56364e+08
857,143636,6.5488e+08
858,143647,6.56358e+08
859,144782,6.52731e+08
860,144679,6.54717e+08
861,149358,6.35682e+08
862,148020,6.42919e+08
863,146455,6.51297e+08
864,146563,6.52326e+08
865,146461,6.54291e+08
866,146650,6.54959e+08
867,146772,6.55927e+08
868,146998,6.5643e+08
869,148071,6.53175e+08
870,148590,6.52392e+08
871,149504,6.49894e+08
872,148492,6.55826e+08
873,150715,6.47635e+08
874,151998,6.4364e+08
875,149642,6.55271e+08
876,153004,6.42337e+08
877,153999,6.39645e+08
878,152838,6.45974e+08
879,153388,6.45124e+08
880,151229,6.55823e+08
881,152122,6.53456e+08
882,152931,6.51475e+08
883,155522,6.42074e+08
884,152983,6.5421e+08
885,153301,6.5433e+08
886,154008,6.52799e+08
887,153649,6.55801e+08
888,155070,6.51257e+08
889,154476,6.55234e+08
890,154541,6.56433e+08
891,155145,6.55347e+08
892,155643,6.54717e+08
893,156777,6.51439e+08
894,156230,6.55184e+08
895,158104,6.48867e+08
896,157152,6.54257e+08
897,157241,6.55347e+08
898,159876,6.45983e+08
899,157725,6.56251e+08
900,158324,6.55223e+08
901,158716,6.55058e+08
902,158810,6.56124e+08
903,159795,6.53526e+08
904,159638,6.55618e+08
905,162388,6.45941e+08
906,163647,6.42389e+08
907,161422,6.52681e+08
908,162328,6.5047e+08
909,161282,6.56131e+08
910,162395,6.53068e+08
911,163679,6.4937e+08
912,162401,6.55917e+08
913,164316,6.49695e+08
914,163556,6.54144e+08
915,165500,6.47875e+08
916,165126,6.50762e+08
917,164657,6.54041e+08
918,166375,6.487e+08
919,165254,6.54523e+08
920,165543,6.54803e+08
921,166162,6.53782e+08
922,167024,6.51821e+08
923,166227,6.56367e+08
924,167071,6.54467e+08
925,169485,6.46542e+08
926,167442,6.55846e+08
927,168060,6.54846e+08
928,168169,6.55834e+08
929,169747,6.51138e+08
930,170242,6.50643e+08
931,169229,6.55945e+08
932,169370,6.56808e+08
933,169895,6.56184e+08
934,170630,6.54758e+08
935,172165,6.5031e+08
936,173567,6.46437e+08
937,171252,6.56576e+08
938,171701,6.56257e+08
939,171868,6.57018e+08
940,171656,6.59231e+08
941,172079,6.5901e+08
942,173236,6.56e+08
943,173837,6.55121e+08
944,175700,6.49549e+08
945,175785,6.50611e+08
946,175712,6.52259e+08
947,175381,6.54872e+08
948,177244,6.49358e+08
949,175545,6.57026e+08
950,177376,6.51615e+08
951,176470,6.56339e+08
952,176895,6.5614e+08
953,178520,6.51533e+08
954,178217,6.54011e+08
955,178653,6.53783e+08
956,178623,6.55263e+08
957,178588,6.56763e+08
958,182312,6.44692e+08
959,179115,6.57569e+08
960,182285,6.47482e+08
961,183693,6.43858e+08
962,180916,6.55102e+08
963,186434,6.37034e+08
964,181223,6.56713e+08
965,181698,6.56356e+08
966,181792,6.57377e+08
967,181916,6.58289e+08
968,182231,6.5851e+08
969,182718,6.58113e+08
970,183083,6.58157e+08
971,184123,6.55789e+08
972,185543,6.52111e+08
973,185243,6.54511e+08
974,186979,6.49767e+08
975,187936,6.47786e+08
976,186798,6.5307e+08
977,187377,6.52387e+08
978,187331,6.53883e+08
979,187658,6.54079e+08
980,186892,6.58102e+08
981,187402,6.5765e+08
982,188068,6.56658e+08
983,198439,6.23607e+08
